id,dataset,domain,structure,query,answer,evidence_graphml,evidence_text,source_file
UD_star_1hop_000011,UD,legal,star_1hop,"What could be affected by an ERISA EVENT, a MATERIAL ACQUISITION, or an EVENT OF DEFAULT according to MOODY’S?",COMPANY,batch_000/star_1hop_00011.graphml,batch_000/star_1hop_00011.txt,output_queries_part_1.csv
UD_star_1hop_000012,UD,literature,star_1hop,"Who has memories of WARDOUR STREET, mentions PAWNBROKERS, interacts with the DAVIDGE FAMILY, and is at VERSAILLES?",ANTHONY,batch_000/star_1hop_00012.graphml,batch_000/star_1hop_00012.txt,output_queries_part_1.csv
UD_star_1hop_000013,UD,biography,star_1hop,"Who was recognized by WOMAN'S WORLD as a leading couturier, used COQ FEATHERS in her designs, had a direct relationship with VISCOUNT HALIFAX, and was known for her work in FASHION DESIGN?",SCHIAPARELLI,batch_000/star_1hop_00013.graphml,batch_000/star_1hop_00013.txt,output_queries_part_1.csv
UD_star_1hop_000014,UD,philosophy,star_1hop,"Who is encapsulated in THE FRAGMENTS OF THE PRE-SOCRATICS, influenced PLATO, foundational in NIETZSCHE'S METAPHYSICS, and part of ESSENTIAL THINKING?",HERACLITUS,batch_000/star_1hop_00014.graphml,batch_000/star_1hop_00014.txt,output_queries_part_1.csv
UD_star_1hop_000015,UD,biography,star_1hop,"What place do GUESTS visit where HOUSEKEEPING is responsible for cleaning rooms, MR. DANIELS manages the operations, and KAYLA handles guest check-ins?",HOTEL,batch_000/star_1hop_00015.graphml,batch_000/star_1hop_00015.txt,output_queries_part_1.csv
UD_star_1hop_000016,UD,mathematics,star_1hop,"Who went to DELOS to master the sacred mysteries, contributed foundational work in ACOUSTICS, used the GROTTO OF PROSERPINE for solitude and meditation, and represented SOLID SPACE with the number 4?",PYTHAGORAS,batch_000/star_1hop_00016.graphml,batch_000/star_1hop_00016.txt,output_queries_part_1.csv
UD_star_1hop_000017,UD,philosophy,star_1hop,"What concept is fundamental to both ORIGINARY CONCORDANCE (ὉΜΟΛΟΓΊΑ) and ἘΠΙΣΤΉΜΗ ΦΥΣΙΚΉ, while also being intertwined with HISTORY OF THE HUMAN and essential for SELF-GATHERING TOWARD THE ORIGINARY FORGATHERING?",ΛΌΓΟΣ,batch_000/star_1hop_00017.graphml,batch_000/star_1hop_00017.txt,output_queries_part_1.csv
UD_star_1hop_000018,UD,fiction,star_1hop,"Who experienced a DEATH that profoundly impacted the characters, was linked to an M-80 used at a party, had a graveside service conducted by PASTOR STEPHENS, and suffered from a DISEASE?",ARIEL,batch_000/star_1hop_00018.graphml,batch_000/star_1hop_00018.txt,output_queries_part_1.csv
UD_star_1hop_000019,UD,literature,star_1hop,"What does Matu have in common with KABERO, GRASS-EATING DEVICE, REVENGE, and MAGIC?",MATU,batch_000/star_1hop_00019.graphml,batch_000/star_1hop_00019.txt,output_queries_part_1.csv
UD_star_1hop_000020,UD,politics,star_1hop,"Who identified the ECONOMIC IMPLOSION as a result of flawed policies from the previous administration, while also addressing JOBS and facing challenges from the REPUBLICANS, as depicted by PAT OLIPHANT?",BARACK OBAMA,batch_000/star_1hop_00020.graphml,batch_000/star_1hop_00020.txt,output_queries_part_1.csv
